title,year,genre,imdb
Yolanda,1924,Romance,5.8
Body and Soul,1925,Drama,6.2
Braveheart,1925,Western,7
The Circle,1925,Drama,6.3
Clash of the Wolves,1925,"Adventure, Romance, Western",6.6
Cobra,1925,"Drama, Romance",6.4
Don Q Son of Zorro,1925,"Adventure, Romance",7
The Eagle,1925,"Action, Comedy, Drama",6.6
The Freshman,1925,"Comedy, Family, Romance",7.5
Go West,1925,"Comedy, Western",7.2
The Goose Woman,1925,Drama,6.9
Greed,1924,"Drama, Thriller, Western",8.1
Her Sister from Paris,1925,Comedy,6.5
Lady Windermere's Fan,1925,Comedy,7.3
Lady of the Night,1925,"Drama, Romance",6.6
Lazybones,1925,"Action, Comedy, Drama",7.2
Lights of Old Broadway,1925,"Drama, Romance",6
The Little Colonel,1935,"Comedy, Family, Musical",7.1
The Monster,1925,"Comedy, Horror, Mystery",6.2
The Mystic,1925,Drama,6.4
Parisian Love,1925,"Crime, Drama, Romance",6.2
Paths to Paradise,1925,"Comedy, Crime, Romance",6.7
The Plastic Age,1925,"Comedy, Romance, Sport",6
The Pleasure Garden,1925,"Drama, Romance",6
Pretty Ladies,1925,"Comedy, Drama",3.7
The Red Kimona,1925,"Biography, Drama, Romance",6.6
Riders of the Purple Sage,1925,"Action, Drama, Western",6.4
The Road to Yesterday,1925,"Drama, Fantasy, Romance",6.8
Sally of the Sawdust,1925,Comedy,6.6
"Sally, Irene and Mary",1925,"Comedy, Drama",3.8
Seven Chances,1925,"Comedy, Romance",7.9
She,1925,"Adventure, Fantasy, Sci-Fi",6.1
Soul-Fire,1925,Drama,4.1
Stage Struck,1925,Comedy,6.5
Stella Dallas,1925,Drama,7.2
Tumbleweeds,1925,Western,6.5
The Unholy Three,1925,"Crime, Drama, Romance",7.2
The Vanishing American,1925,Western,6.8
Wolfblood,1925,"Adventure, Drama, Romance",5.8
Zander the Great,1925,"Action, Comedy, Drama",5.4
Bardelys the Magnificent,1926,"Drama, Romance",7
The Bat,1926,"Mystery, Thriller",6.5
Battling Butler,1926,"Action, Comedy, Romance",7
Beau Geste,1926,"Action, Adventure, Drama",7
